ID,Y_COORDINATE
1,219
2,259
3,207
4,205
5,207
6,230
7,229
8,208
9,266
10,213
11,221
12,226
13,232
14,218
15,218
16,246
17,246
18,220
19,214
20,212
21,222
22,221
23,224
24,221
25,218
26,213
27,215
28,247
29,251
30,214
31,213
32,213
33,232
34,222
35,229
36,223
37,224
38,221
39,223
40,223
41,247
42,222
43,220
44,263
45,218
46,200
47,213
48,228
49,215
50,254
51,230
52,227
53,228
54,226
55,226
56,227
57,231
58,226
59,224
60,220
61,221
62,223
63,220
64,221
65,223
66,235
67,230
68,241
69,212
70,214
71,212
72,215
73,233
74,230
75,227
76,229
77,231
78,280
79,278
80,228
81,227
82,229
83,223
84,232
85,226
86,223
87,229
88,234
89,270
90,223
91,218
92,218
93,232
94,217
95,275
96,220
97,234
98,233
99,217
100,214
101,215
102,215
103,229
104,234
105,236
106,237
107,233
108,229
109,233
110,229
111,230
112,229
113,240
114,224
115,222
116,224
117,228
118,259
119,231
120,220
121,224
122,235
123,220
124,218
125,226
126,236
127,234
128,238
129,233
130,279
131,214
132,212
133,215
134,218
135,235
136,235
137,236
138,234
139,241
140,238
141,249
142,231
143,214
144,232
145,232
146,236
147,234
148,237
149,255
150,231
151,230
152,239
153,229
154,226
155,240
156,231
157,230
158,236
159,227
160,221
161,239
162,224
163,236
164,226
165,247
166,239
167,235
168,235
169,255
170,218
171,218
172,221
173,237
174,235
175,238
176,239
177,238
178,211
179,247
180,215
181,216
182,272
183,236
184,291
185,236
186,248
187,239
188,240
189,236
190,234
191,237
192,229
193,232
194,233
195,288
196,230
197,229
198,238
199,225
200,226
201,236
202,238
203,236
204,224
205,231
206,228
207,225
208,238
209,237
210,261
211,219
212,220
213,236
214,236
215,244
216,239
217,244
218,220
219,214
220,219
221,219
222,238
223,238
224,289
225,236
226,242
227,214
228,263
229,237
230,237
231,239
232,243
233,244
234,223
235,234
236,234
237,239
238,234
239,227
240,233
241,231
242,238
243,238
244,227
245,228
246,230
247,228
248,236
249,236
250,231
251,214
252,250
253,220
254,227
255,226
256,235
257,239
258,238
259,234
260,219
261,220
262,232
263,236
264,235
265,238
266,239
267,219
268,240
269,218
270,225
271,227
272,241
273,239
274,280
275,240
276,336
277,240
278,221
279,213
280,214
281,215
282,244
283,241
284,240
285,240
286,240
287,245
288,239
289,225
290,242
291,235
292,238
293,224
294,262
295,649
296,250
297,237
298,259
299,241
300,248
301,231
302,227
303,257
304,229
305,230
306,238
307,233
308,233
309,226
310,252
311,228
312,241
313,238
314,239
315,236
316,216
317,222
318,259
319,267
320,236
321,238
322,278
323,240
324,223
325,215
326,226
327,220
328,219
329,294
330,240
331,241
332,250
333,248
334,239
335,240
336,240
337,266
338,224
339,272
340,251
341,247
342,238
343,241
344,224
345,221
346,215
347,247
348,246
349,246
350,245
351,238
352,242
353,242
354,240
355,232
356,269
357,266
358,272
359,226
360,230
361,231
362,255
363,241
364,235
365,235
366,232
367,226
368,240
369,233
370,237
371,236
372,238
373,233
374,213
375,229
376,231
377,252
378,238
379,238
380,278
381,241
382,217
383,216
384,221
385,219
386,226
387,285
388,241
389,241
390,245
391,239
392,243
393,213
394,219
395,223
396,246
397,251
398,260
399,243
400,246
401,241
402,219
403,267
404,212
405,215
406,274
407,264
408,267
409,259
410,246
411,223
412,222
413,260
414,241
415,241
416,243
417,231
418,232
419,233
420,243
421,284
422,278
423,269
424,242
425,230
426,257
427,230
428,236
429,260
430,241
431,238
432,234
433,214
434,266
435,259
436,234
437,244
438,236
439,239
440,240
441,240
442,240
443,243
